# Copyright (C) 2019  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 19.1.0 Build 670 09/22/2019 SJ Lite Edition
# File: C:\Users\camin\Documents\VanilaCore\RTL\output_files\VanilaCore_SimpleSoC.csv
# Generated on: Fri Dec 11 00:46:19 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clk,Input,PIN_23,1,B1_N0,PIN_23,2.5 V,,,,,
display_data[6],Output,PIN_124,7,B7_N0,PIN_124,2.5 V,,,,,
display_data[5],Output,PIN_126,7,B7_N0,PIN_126,2.5 V,,,,,
display_data[4],Output,PIN_132,8,B8_N0,PIN_132,2.5 V,,,,,
display_data[3],Output,PIN_129,8,B8_N0,PIN_129,2.5 V,,,,,
display_data[2],Output,PIN_125,7,B7_N0,PIN_125,2.5 V,,,,,
display_data[1],Output,PIN_121,7,B7_N0,PIN_121,2.5 V,,,,,
display_data[0],Output,PIN_128,8,B8_N0,PIN_128,2.5 V,,,,,
rst,Input,PIN_25,2,B2_N0,PIN_25,2.5 V,,,,,
select[3],Output,PIN_137,8,B8_N0,PIN_137,2.5 V,,,,,
select[2],Output,PIN_136,8,B8_N0,PIN_136,2.5 V,,,,,
select[1],Output,PIN_135,8,B8_N0,PIN_135,2.5 V,,,,,
select[0],Output,PIN_133,8,B8_N0,PIN_133,2.5 V,,,,,
uart_rx,Input,PIN_115,7,B7_N0,PIN_115,2.5 V,,,,,
uart_tx,Output,PIN_114,7,B7_N0,PIN_114,2.5 V,,,,,
